Process,Category,Metric,Timestamp,TimestampRaw,Value
Global,CPU Core Load,CPU 0 Load,5301054,1764659924392109,0.0
Global,CPU Core Load,CPU 0 Load,5351697,1764659924442752,0.0
Global,CPU Core Load,CPU 0 Load,5402284,1764659924493339,451200000.0
Global,CPU Core Load,CPU 0 Load,5452858,1764659924543913,0.0
Global,CPU Core Load,CPU 0 Load,5503468,1764659924594523,0.0
Global,CPU Core Load,CPU 0 Load,5554114,1764659924645169,0.0
Global,CPU Core Load,CPU 0 Load,5604737,1764659924695792,0.0
Global,CPU Core Load,CPU 0 Load,5655264,1764659924746319,0.0
Global,CPU Core Load,CPU 0 Load,5705652,1764659924796707,0.0
Global,CPU Core Load,CPU 0 Load,5756122,1764659924847177,0.0
Global,CPU Core Load,CPU 0 Load,5806601,1764659924897656,0.0
Global,CPU Core Load,CPU 0 Load,5857243,1764659924948298,0.0
Global,CPU Core Load,CPU 0 Load,5907901,1764659924998956,0.0
Global,CPU Core Load,CPU 0 Load,5958628,1764659925049683,0.0
Global,CPU Core Load,CPU 0 Load,6009272,1764659925100327,0.0
Global,CPU Core Load,CPU 0 Load,6059924,1764659925150979,144384000.0
Global,CPU Core Load,CPU 0 Load,6110633,1764659925201688,0.0
Global,CPU Core Load,CPU 0 Load,6161260,1764659925252315,0.0
Global,CPU Core Load,CPU 0 Load,6211921,1764659925302976,0.0
Global,CPU Core Load,CPU 0 Load,6262566,1764659925353621,0.0
Global,CPU Core Load,CPU 0 Load,6313007,1764659925404062,0.0
Global,CPU Core Load,CPU 0 Load,6363492,1764659925454547,0.0
Global,CPU Core Load,CPU 0 Load,6413942,1764659925504997,379008000.0
Global,CPU Core Load,CPU 0 Load,6465378,1764659925556433,0.0
Global,CPU Core Load,CPU 0 Load,6515998,1764659925607053,0.0
Global,CPU Core Load,CPU 0 Load,6566679,1764659925657734,180480000.0
Global,CPU Core Load,CPU 0 Load,6617255,1764659925708310,451200000.0
Global,CPU Core Load,CPU 0 Load,6667993,1764659925759048,451200000.0
Global,CPU Core Load,CPU 0 Load,6718820,1764659925809875,225600000.0
Global,CPU Core Load,CPU 0 Load,6769574,1764659925860629,451200000.0
Global,CPU Core Load,CPU 0 Load,6820272,1764659925911327,595584000.0
Global,CPU Core Load,CPU 0 Load,6870803,1764659925961858,422400000.0
Global,CPU Core Load,CPU 0 Load,6921204,1764659926012259,514368000.0
Global,CPU Core Load,CPU 0 Load,6971757,1764659926062812,451200000.0
Global,CPU Core Load,CPU 0 Load,7022597,1764659926113652,360960000.0
Global,CPU Core Load,CPU 0 Load,7073208,1764659926164263,541440000.0
Global,CPU Core Load,CPU 0 Load,7123846,1764659926214901,297792000.0
Global,CPU Core Load,CPU 0 Load,7174660,1764659926265715,360960000.0
Global,CPU Core Load,CPU 0 Load,7225352,1764659926316407,595584000.0
Global,CPU Core Load,CPU 0 Load,7276006,1764659926367061,225600000.0
Global,CPU Core Load,CPU 0 Load,7326855,1764659926417910,360960000.0
Global,CPU Core Load,CPU 0 Load,7377431,1764659926468486,451200000.0
