Process,Category,Metric,Timestamp,TimestampRaw,Value
Global,CPU Core Load,CPU 0 Load,4655464,1764640465966942,89088000.0
Global,CPU Core Load,CPU 0 Load,4708665,1764640466020143,233856000.0
Global,CPU Core Load,CPU 0 Load,4763959,1764640466075437,139200000.0
Global,CPU Core Load,CPU 0 Load,4816608,1764640466128086,111360000.0
Global,CPU Core Load,CPU 0 Load,4869128,1764640466180606,222720000.0
Global,CPU Core Load,CPU 0 Load,4921506,1764640466232984,111360000.0
Global,CPU Core Load,CPU 0 Load,4976814,1764640466288292,111360000.0
Global,CPU Core Load,CPU 0 Load,5032793,1764640466344271,139200000.0
Global,CPU Core Load,CPU 0 Load,5088309,1764640466399787,183744000.0
Global,CPU Core Load,CPU 0 Load,5143871,1764640466455349,111360000.0
Global,CPU Core Load,CPU 0 Load,5196431,1764640466507909,111360000.0
Global,CPU Core Load,CPU 0 Load,5251412,1764640466562890,111360000.0
Global,CPU Core Load,CPU 0 Load,5304721,1764640466616199,222720000.0
Global,CPU Core Load,CPU 0 Load,5360714,1764640466672192,111360000.0
Global,CPU Core Load,CPU 0 Load,5416017,1764640466727495,111360000.0
Global,CPU Core Load,CPU 0 Load,5471541,1764640466783019,183744000.0
Global,CPU Core Load,CPU 0 Load,5527662,1764640466839140,111360000.0
Global,CPU Core Load,CPU 0 Load,5582080,1764640466893558,233856000.0
Global,CPU Core Load,CPU 0 Load,5637729,1764640466949207,111360000.0
Global,CPU Core Load,CPU 0 Load,5693113,1764640467004591,111360000.0
Global,CPU Core Load,CPU 0 Load,5748608,1764640467060086,222720000.0
Global,CPU Core Load,CPU 0 Load,5805365,1764640467116843,183744000.0
Global,CPU Core Load,CPU 0 Load,5859067,1764640467170545,111360000.0
Global,CPU Core Load,CPU 0 Load,5916461,1764640467227939,0.0
Global,CPU Core Load,CPU 0 Load,5970758,1764640467282236,111360000.0
Global,CPU Core Load,CPU 0 Load,6027034,1764640467338512,278400000.0
Global,CPU Core Load,CPU 0 Load,6083232,1764640467394710,139200000.0
Global,CPU Core Load,CPU 0 Load,6147142,1764640467458620,183744000.0
Global,CPU Core Load,CPU 0 Load,6213485,1764640467524963,183744000.0
Global,CPU Core Load,CPU 0 Load,6276569,1764640467588047,278400000.0
Global,CPU Core Load,CPU 0 Load,6333879,1764640467645357,139200000.0
Global,CPU Core Load,CPU 0 Load,6400731,1764640467712209,233856000.0
Global,CPU Core Load,CPU 0 Load,6456237,1764640467767715,222720000.0
Global,CPU Core Load,CPU 0 Load,6521405,1764640467832883,345216000.0
Global,CPU Core Load,CPU 0 Load,6580771,1764640467892249,139200000.0
Global,CPU Core Load,CPU 0 Load,6638855,1764640467950333,222720000.0
Global,CPU Core Load,CPU 0 Load,6695350,1764640468006828,317376000.0
Global,CPU Core Load,CPU 0 Load,6760895,1764640468072373,472320000.0
Global,CPU Core Load,CPU 0 Load,6818708,1764640468130186,1075200000.0
Global,CPU Core Load,CPU 0 Load,6872350,1764640468183828,268800000.0
Global,CPU Core Load,CPU 0 Load,6928301,1764640468239779,222720000.0
Global,CPU Core Load,CPU 0 Load,6985198,1764640468296676,139200000.0
Global,CPU Core Load,CPU 0 Load,7043066,1764640468354544,317376000.0
Global,CPU Core Load,CPU 0 Load,7100231,1764640468411709,111360000.0
Global,CPU Core Load,CPU 0 Load,7156961,1764640468468439,222720000.0
Global,CPU Core Load,CPU 0 Load,7221503,1764640468532981,278400000.0
Global,CPU Core Load,CPU 0 Load,7278433,1764640468589911,233856000.0
Global,CPU Core Load,CPU 0 Load,7334757,1764640468646235,278400000.0
Global,CPU Core Load,CPU 0 Load,7391152,1764640468702630,222720000.0
Global,CPU Core Load,CPU 0 Load,7455426,1764640468766904,278400000.0
Global,CPU Core Load,CPU 0 Load,7510461,1764640468821939,111360000.0
Global,CPU Core Load,CPU 0 Load,7575234,1764640468886712,139200000.0
Global,CPU Core Load,CPU 0 Load,7639294,1764640468950772,317376000.0
Global,CPU Core Load,CPU 0 Load,7699097,1764640469010575,183744000.0
Global,CPU Core Load,CPU 0 Load,7762496,1764640469073974,317376000.0
Global,CPU Core Load,CPU 0 Load,7820192,1764640469131670,111360000.0
Global,CPU Core Load,CPU 0 Load,7884128,1764640469195606,334080000.0
Global,CPU Core Load,CPU 0 Load,7940736,1764640469252214,233856000.0
Global,CPU Core Load,CPU 0 Load,7998384,1764640469309862,222720000.0
Global,CPU Core Load,CPU 0 Load,8053421,1764640469364899,233856000.0
Global,CPU Core Load,CPU 0 Load,8123026,1764640469434504,278400000.0
Global,CPU Core Load,CPU 0 Load,8182502,1764640469493980,278400000.0
Global,CPU Core Load,CPU 0 Load,8238118,1764640469549596,111360000.0
Global,CPU Core Load,CPU 0 Load,8304653,1764640469616131,278400000.0
Global,CPU Core Load,CPU 0 Load,8359686,1764640469671164,139200000.0
Global,CPU Core Load,CPU 0 Load,8428185,1764640469739663,278400000.0
Global,CPU Core Load,CPU 0 Load,8483902,1764640469795380,222720000.0
Global,CPU Core Load,CPU 0 Load,8549391,1764640469860869,183744000.0
Global,CPU Core Load,CPU 0 Load,8616695,1764640469928173,278400000.0
Global,CPU Core Load,CPU 0 Load,8673120,1764640469984598,139200000.0
Global,CPU Core Load,CPU 0 Load,8735667,1764640470047145,334080000.0
Global,CPU Core Load,CPU 0 Load,8792956,1764640470104434,278400000.0
Global,CPU Core Load,CPU 0 Load,8849051,1764640470160529,111360000.0
Global,CPU Core Load,CPU 0 Load,8904744,1764640470216222,222720000.0
Global,CPU Core Load,CPU 0 Load,8971166,1764640470282644,278400000.0
Global,CPU Core Load,CPU 0 Load,9029738,1764640470341216,222720000.0
Global,CPU Core Load,CPU 0 Load,9087666,1764640470399144,233856000.0
Global,CPU Core Load,CPU 0 Load,9142479,1764640470453957,139200000.0
Global,CPU Core Load,CPU 0 Load,9207595,1764640470519073,317376000.0
Global,CPU Core Load,CPU 0 Load,9262265,1764640470573743,139200000.0
Global,CPU Core Load,CPU 0 Load,9333912,1764640470645390,278400000.0
Global,CPU Core Load,CPU 0 Load,9388994,1764640470700472,183744000.0
Global,CPU Core Load,CPU 0 Load,9446885,1764640470758363,222720000.0
Global,CPU Core Load,CPU 0 Load,9510609,1764640470822087,233856000.0
Global,CPU Core Load,CPU 0 Load,9575001,1764640470886479,222720000.0
Global,CPU Core Load,CPU 0 Load,9642343,1764640470953821,317376000.0
Global,CPU Core Load,CPU 0 Load,9699215,1764640471010693,222720000.0
Global,CPU Core Load,CPU 0 Load,9764857,1764640471076335,233856000.0
Global,CPU Core Load,CPU 0 Load,9816722,1764640471128200,278400000.0
Global,CPU Core Load,CPU 0 Load,9868776,1764640471180254,0.0
Global,CPU Core Load,CPU 0 Load,9920858,1764640471232336,278400000.0
Global,CPU Core Load,CPU 0 Load,9972664,1764640471284142,183744000.0
Global,CPU Core Load,CPU 0 Load,10024658,1764640471336136,139200000.0
Global,CPU Core Load,CPU 0 Load,10077152,1764640471388630,222720000.0
Global,CPU Core Load,CPU 0 Load,10129329,1764640471440807,317376000.0
Global,CPU Core Load,CPU 0 Load,10181396,1764640471492874,183744000.0
Global,CPU Core Load,CPU 0 Load,10233545,1764640471545023,278400000.0
Global,CPU Core Load,CPU 0 Load,10285678,1764640471597156,111360000.0
Global,CPU Core Load,CPU 0 Load,10337760,1764640471649238,139200000.0
Global,CPU Core Load,CPU 0 Load,10389721,1764640471701199,222720000.0
Global,CPU Core Load,CPU 0 Load,10443474,1764640471754952,111360000.0
Global,CPU Core Load,CPU 0 Load,10496245,1764640471807723,139200000.0
Global,CPU Core Load,CPU 0 Load,10548103,1764640471859581,222720000.0
Global,CPU Core Load,CPU 0 Load,10600201,1764640471911679,111360000.0
Global,CPU Core Load,CPU 0 Load,10652298,1764640471963776,222720000.0
Global,CPU Core Load,CPU 0 Load,10704244,1764640472015722,139200000.0
Global,CPU Core Load,CPU 0 Load,10756220,1764640472067698,139200000.0
Global,CPU Core Load,CPU 0 Load,10810959,1764640472122437,278400000.0
Global,CPU Core Load,CPU 0 Load,10864302,1764640472175780,111360000.0
Global,CPU Core Load,CPU 0 Load,10916168,1764640472227646,111360000.0
Global,CPU Core Load,CPU 0 Load,10968141,1764640472279619,334080000.0
Global,CPU Core Load,CPU 0 Load,11020398,1764640472331876,111360000.0
Global,CPU Core Load,CPU 0 Load,11073921,1764640472385399,139200000.0
Global,CPU Core Load,CPU 0 Load,11128926,1764640472440404,222720000.0
Global,CPU Core Load,CPU 0 Load,11195095,1764640472506573,278400000.0
Global,CPU Core Load,CPU 0 Load,11253114,1764640472564592,278400000.0
Global,CPU Core Load,CPU 0 Load,11311946,1764640472623424,183744000.0
Global,CPU Core Load,CPU 0 Load,11372224,1764640472683702,183744000.0
Global,CPU Core Load,CPU 0 Load,11428001,1764640472739479,278400000.0
Global,CPU Core Load,CPU 0 Load,11484935,1764640472796413,139200000.0
Global,CPU Core Load,CPU 0 Load,11554645,1764640472866123,317376000.0
Global,CPU Core Load,CPU 0 Load,11611458,1764640472922936,278400000.0
Global,CPU Core Load,CPU 0 Load,11676036,1764640472987514,367488000.0
Global,CPU Core Load,CPU 0 Load,11732935,1764640473044413,806400000.0
Global,CPU Core Load,CPU 0 Load,11787393,1764640473098871,1082880000.0
Global,CPU Core Load,CPU 0 Load,11838928,1764640473150406,403200000.0
Global,CPU Core Load,CPU 0 Load,11894654,1764640473206132,139200000.0
Global,CPU Core Load,CPU 0 Load,11952497,1764640473263975,367488000.0
Global,CPU Core Load,CPU 0 Load,12010254,1764640473321732,278400000.0
Global,CPU Core Load,CPU 0 Load,12075405,1764640473386883,278400000.0
Global,CPU Core Load,CPU 0 Load,12132127,1764640473443605,222720000.0
Global,CPU Core Load,CPU 0 Load,12195686,1764640473507164,306240000.0
Global,CPU Core Load,CPU 0 Load,12250322,1764640473561800,0.0
Global,CPU Core Load,CPU 0 Load,12311543,1764640473623021,111360000.0
Global,CPU Core Load,CPU 0 Load,12376599,1764640473688077,395328000.0
Global,CPU Core Load,CPU 0 Load,12448569,1764640473760047,183744000.0
Global,CPU Core Load,CPU 0 Load,12504171,1764640473815649,233856000.0
Global,CPU Core Load,CPU 0 Load,12565793,1764640473877271,278400000.0
Global,CPU Core Load,CPU 0 Load,12627604,1764640473939082,183744000.0
Global,CPU Core Load,CPU 0 Load,12692964,1764640474004442,278400000.0
Global,CPU Core Load,CPU 0 Load,12756086,1764640474067564,278400000.0
Global,CPU Core Load,CPU 0 Load,12820654,1764640474132132,278400000.0
Global,CPU Core Load,CPU 0 Load,12875489,1764640474186967,222720000.0
Global,CPU Core Load,CPU 0 Load,12936776,1764640474248254,222720000.0
Global,CPU Core Load,CPU 0 Load,12990641,1764640474302119,222720000.0
Global,CPU Core Load,CPU 0 Load,13058693,1764640474370171,233856000.0
Global,CPU Core Load,CPU 0 Load,13123441,1764640474434919,317376000.0
Global,CPU Core Load,CPU 0 Load,13189560,1764640474501038,278400000.0
Global,CPU Core Load,CPU 0 Load,13253813,1764640474565291,278400000.0
Global,CPU Core Load,CPU 0 Load,13310805,1764640474622283,222720000.0
Global,CPU Core Load,CPU 0 Load,13382493,1764640474693971,233856000.0
Global,CPU Core Load,CPU 0 Load,13441036,1764640474752514,183744000.0
Global,CPU Core Load,CPU 0 Load,13497088,1764640474808566,139200000.0
Global,CPU Core Load,CPU 0 Load,13555971,1764640474867449,317376000.0
Global,CPU Core Load,CPU 0 Load,13616476,1764640474927954,222720000.0
Global,CPU Core Load,CPU 0 Load,13672128,1764640474983606,222720000.0
Global,CPU Core Load,CPU 0 Load,13730646,1764640475042124,222720000.0
Global,CPU Core Load,CPU 0 Load,13796839,1764640475108317,233856000.0
Global,CPU Core Load,CPU 0 Load,13861202,1764640475172680,395328000.0
Global,CPU Core Load,CPU 0 Load,13915305,1764640475226783,0.0
Global,CPU Core Load,CPU 0 Load,13967869,1764640475279347,183744000.0
Global,CPU Core Load,CPU 0 Load,14024628,1764640475336106,334080000.0
Global,CPU Core Load,CPU 0 Load,14076408,1764640475387886,222720000.0
Global,CPU Core Load,CPU 0 Load,14128257,1764640475439735,0.0
Global,CPU Core Load,CPU 0 Load,14180069,1764640475491547,334080000.0
Global,CPU Core Load,CPU 0 Load,14232218,1764640475543696,222720000.0
Global,CPU Core Load,CPU 0 Load,14284172,1764640475595650,0.0
Global,CPU Core Load,CPU 0 Load,14336075,1764640475647553,317376000.0
Global,CPU Core Load,CPU 0 Load,14388028,1764640475699506,139200000.0
Global,CPU Core Load,CPU 0 Load,14440028,1764640475751506,139200000.0
Global,CPU Core Load,CPU 0 Load,14492016,1764640475803494,183744000.0
Global,CPU Core Load,CPU 0 Load,14544066,1764640475855544,139200000.0
Global,CPU Core Load,CPU 0 Load,14596304,1764640475907782,183744000.0
Global,CPU Core Load,CPU 0 Load,14648639,1764640475960117,278400000.0
Global,CPU Core Load,CPU 0 Load,14701055,1764640476012533,183744000.0
Global,CPU Core Load,CPU 0 Load,14753148,1764640476064626,222720000.0
Global,CPU Core Load,CPU 0 Load,14805388,1764640476116866,222720000.0
Global,CPU Core Load,CPU 0 Load,14857709,1764640476169187,278400000.0
Global,CPU Core Load,CPU 0 Load,14909762,1764640476221240,139200000.0
Global,CPU Core Load,CPU 0 Load,14961869,1764640476273347,0.0
Global,CPU Core Load,CPU 0 Load,15016463,1764640476327941,222720000.0
Global,CPU Core Load,CPU 0 Load,15068329,1764640476379807,334080000.0
Global,CPU Core Load,CPU 0 Load,15120265,1764640476431743,0.0
Global,CPU Core Load,CPU 0 Load,15177587,1764640476489065,278400000.0
Global,CPU Core Load,CPU 0 Load,15229694,1764640476541172,139200000.0
Global,CPU Core Load,CPU 0 Load,15281663,1764640476593141,222720000.0
Global,CPU Core Load,CPU 0 Load,15333721,1764640476645199,278400000.0
Global,CPU Core Load,CPU 0 Load,15385650,1764640476697128,0.0
Global,CPU Core Load,CPU 0 Load,15437754,1764640476749232,183744000.0
Global,CPU Core Load,CPU 0 Load,15489662,1764640476801140,278400000.0
Global,CPU Core Load,CPU 0 Load,15542156,1764640476853634,183744000.0
Global,CPU Core Load,CPU 0 Load,15604269,1764640476915747,222720000.0
Global,CPU Core Load,CPU 0 Load,15660357,1764640476971835,183744000.0
Global,CPU Core Load,CPU 0 Load,15731304,1764640477042782,317376000.0
Global,CPU Core Load,CPU 0 Load,15797934,1764640477109412,183744000.0
Global,CPU Core Load,CPU 0 Load,15858577,1764640477170055,278400000.0
Global,CPU Core Load,CPU 0 Load,15911906,1764640477223384,139200000.0
Global,CPU Core Load,CPU 0 Load,15964003,1764640477275481,139200000.0
Global,CPU Core Load,CPU 0 Load,16016067,1764640477327545,278400000.0
Global,CPU Core Load,CPU 0 Load,16068907,1764640477380385,183744000.0
Global,CPU Core Load,CPU 0 Load,16120700,1764640477432178,0.0
Global,CPU Core Load,CPU 0 Load,16179281,1764640477490759,317376000.0
Global,CPU Core Load,CPU 0 Load,16231821,1764640477543299,139200000.0
Global,CPU Core Load,CPU 0 Load,16284259,1764640477595737,111360000.0
Global,CPU Core Load,CPU 0 Load,16336166,1764640477647644,278400000.0
Global,CPU Core Load,CPU 0 Load,16388003,1764640477699481,139200000.0
Global,CPU Core Load,CPU 0 Load,16440038,1764640477751516,0.0
Global,CPU Core Load,CPU 0 Load,16492133,1764640477803611,278400000.0
Global,CPU Core Load,CPU 0 Load,16544126,1764640477855604,111360000.0
Global,CPU Core Load,CPU 0 Load,16596372,1764640477907850,222720000.0
Global,CPU Core Load,CPU 0 Load,16648450,1764640477959928,222720000.0
Global,CPU Core Load,CPU 0 Load,16700455,1764640478011933,139200000.0
Global,CPU Core Load,CPU 0 Load,16753592,1764640478065070,139200000.0
Global,CPU Core Load,CPU 0 Load,16811531,1764640478123009,367488000.0
Global,CPU Core Load,CPU 0 Load,16865935,1764640478177413,278400000.0
Global,CPU Core Load,CPU 0 Load,16918499,1764640478229977,111360000.0
Global,CPU Core Load,CPU 0 Load,16972522,1764640478284000,278400000.0
Global,CPU Core Load,CPU 0 Load,17025877,1764640478337355,139200000.0
Global,CPU Core Load,CPU 0 Load,17091435,1764640478402913,183744000.0
Global,CPU Core Load,CPU 0 Load,17155586,1764640478467064,317376000.0
Global,CPU Core Load,CPU 0 Load,17227342,1764640478538820,233856000.0
Global,CPU Core Load,CPU 0 Load,17288112,1764640478599590,278400000.0
Global,CPU Core Load,CPU 0 Load,17363118,1764640478674596,233856000.0
Global,CPU Core Load,CPU 0 Load,17423220,1764640478734698,334080000.0
Global,CPU Core Load,CPU 0 Load,17487380,1764640478798858,183744000.0
Global,CPU Core Load,CPU 0 Load,17554461,1764640478865939,183744000.0
Global,CPU Core Load,CPU 0 Load,17613364,1764640478924842,278400000.0
Global,CPU Core Load,CPU 0 Load,17679372,1764640478990850,183744000.0
Global,CPU Core Load,CPU 0 Load,17746965,1764640479058443,317376000.0
Global,CPU Core Load,CPU 0 Load,17802068,1764640479113546,222720000.0
Global,CPU Core Load,CPU 0 Load,17858941,1764640479170419,183744000.0
Global,CPU Core Load,CPU 0 Load,17912136,1764640479223614,317376000.0
Global,CPU Core Load,CPU 0 Load,17964013,1764640479275491,0.0
Global,CPU Core Load,CPU 0 Load,18016336,1764640479327814,222720000.0
Global,CPU Core Load,CPU 0 Load,18068248,1764640479379726,222720000.0
Global,CPU Core Load,CPU 0 Load,18120268,1764640479431746,139200000.0
Global,CPU Core Load,CPU 0 Load,18172270,1764640479483748,222720000.0
Global,CPU Core Load,CPU 0 Load,18224334,1764640479535812,278400000.0
Global,CPU Core Load,CPU 0 Load,18281458,1764640479592936,111360000.0
Global,CPU Core Load,CPU 0 Load,18333349,1764640479644827,222720000.0
Global,CPU Core Load,CPU 0 Load,18385264,1764640479696742,222720000.0
Global,CPU Core Load,CPU 0 Load,18437538,1764640479749016,139200000.0
Global,CPU Core Load,CPU 0 Load,18489519,1764640479800997,222720000.0
Global,CPU Core Load,CPU 0 Load,18541445,1764640479852923,111360000.0
Global,CPU Core Load,CPU 0 Load,18593417,1764640479904895,222720000.0
Global,CPU Core Load,CPU 0 Load,18645579,1764640479957057,222720000.0
Global,CPU Core Load,CPU 0 Load,18697592,1764640480009070,0.0
Global,CPU Core Load,CPU 0 Load,18749548,1764640480061026,367488000.0
Global,CPU Core Load,CPU 0 Load,18801731,1764640480113209,233856000.0
Global,CPU Core Load,CPU 0 Load,18853735,1764640480165213,139200000.0
Global,CPU Core Load,CPU 0 Load,18905828,1764640480217306,278400000.0
Global,CPU Core Load,CPU 0 Load,18957845,1764640480269323,139200000.0
Global,CPU Core Load,CPU 0 Load,19012225,1764640480323703,222720000.0
Global,CPU Core Load,CPU 0 Load,19064086,1764640480375564,139200000.0
Global,CPU Core Load,CPU 0 Load,19116363,1764640480427841,139200000.0
Global,CPU Core Load,CPU 0 Load,19168413,1764640480479891,278400000.0
Global,CPU Core Load,CPU 0 Load,19220470,1764640480531948,278400000.0
Global,CPU Core Load,CPU 0 Load,19277618,1764640480589096,139200000.0
Global,CPU Core Load,CPU 0 Load,19329672,1764640480641150,139200000.0
Global,CPU Core Load,CPU 0 Load,19381598,1764640480693076,222720000.0
Global,CPU Core Load,CPU 0 Load,19433702,1764640480745180,278400000.0
Global,CPU Core Load,CPU 0 Load,19485663,1764640480797141,139200000.0
Global,CPU Core Load,CPU 0 Load,19537838,1764640480849316,278400000.0
Global,CPU Core Load,CPU 0 Load,19589743,1764640480901221,0.0
Global,CPU Core Load,CPU 0 Load,19641731,1764640480953209,222720000.0
Global,CPU Core Load,CPU 0 Load,19706852,1764640481018330,278400000.0
Global,CPU Core Load,CPU 0 Load,19778777,1764640481090255,317376000.0
Global,CPU Core Load,CPU 0 Load,19835603,1764640481147081,111360000.0
Global,CPU Core Load,CPU 0 Load,19888168,1764640481199646,222720000.0
Global,CPU Core Load,CPU 0 Load,19940427,1764640481251905,222720000.0
Global,CPU Core Load,CPU 0 Load,19992610,1764640481304088,0.0
Global,CPU Core Load,CPU 0 Load,20044861,1764640481356339,317376000.0
